info, 1, version, 2, output, /Users/craig/rt-workspace/scala3/compiler/../out/default-last-scalac-out.jar
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
MAIN,158043135054416,158043179298291,1,1,parser,,0,1,main,44243875,0,42537000,41065000,5853280,36671864 
GC,158043287883791,158043291883791,617, 620,G1 Young Generation,end of minor GC,G1 Preventive Collection,5
GC,158043311016333,158043316016333,646, 650,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158043467703083,158043470703083,802, 804,G1 Young Generation,end of minor GC,Metadata GC Threshold,5
GC,158043747620125,158043751620125,1082, 1085,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158043903321791,158043907321791,1238, 1241,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158043180893958,158043969796166,1,2,typer,,0,1,main,788902208,0,708526000,698096000,104304720,36900592 
MAIN,158043969900250,158043970087458,1,3,inlinedPositions,,0,1,main,187208,0,187000,180000,26112,36900592 
MAIN,158043970151833,158044044434375,1,6,posttyper,,0,1,main,74282542,0,62193000,60712000,6935488,45289200 
MAIN,158044044540250,158044044602375,1,7,unrollDefs,,0,1,main,62125,0,62000,57000,2160,45289200 
MAIN,158044044650375,158044100012458,1,9,pickler,,0,1,main,55362083,0,30814000,29524000,7539088,53677808 
MAIN,158044100092791,158044100137416,1,11,inlining,,0,1,main,44625,0,44000,42000,2160,53677808 
MAIN,158044100163625,158044100189000,1,12,postInlining,,0,1,main,25375,0,25000,24000,18112,53677808 
MAIN,158044101097458,158044101139208,1,13,staging,,0,1,main,41750,0,41000,35000,2160,53677808 
MAIN,158044101165583,158044101188958,1,14,splicing,,0,1,main,23375,0,24000,22000,2160,53677808 
MAIN,158044101209791,158044101234416,1,15,pickleQuotes,,0,1,main,24625,0,25000,23000,2160,53677808 
MAIN,158044101257333,158044168446208,1,16,MegaPhase{crossVersionChecks  firstTransform  checkReentrant  elimPackagePrefixes  cookComments  checkLoopingImplicits  betaReduce  inlineVals  expandSAMs  elimRepeated  refchecks  dropForMap},,0,1,main,67188875,0,47254000,46536000,4249936,57872112 
MAIN,158044168518416,158044184652375,1,29,MegaPhase{protectedAccessors  extmethods  uncacheGivenAliases  checkStatic  elimByName  hoistSuperArgs  forwardDepChecks  specializeApplyMethods  tryCatchPatterns  patternMatcher},,0,1,main,16133959,0,14668000,14359000,1209632,57872112 
MAIN,158044184738333,158044184781125,1,39,setupCC,,0,1,main,42792,0,43000,38000,2160,57872112 
GC,158044317064208,158044322064208,1652, 1656,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158044533274750,158044540274750,1868, 1874,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158044623392083,158044629392083,1958, 1963,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158044184809875,158044702772625,1,40,cc,,0,1,main,517962750,0,458008000,449571000,144085072,65902328 
MAIN,158044702842250,158044702884208,1,41,setupEff,,0,1,main,41958,0,41000,39000,2160,65902328 
GC,158044748600208,158044755600208,2084, 2090,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158044802964875,158044808964875,2138, 2143,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158044947856166,158044953856166,2283, 2288,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158045025387416,158045032387416,2360, 2366,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158044702914208,158045068812541,1,42,eff,,0,1,main,365898333,0,334723000,326943000,257229296,95360000 
MAIN,158045068887291,158045082842166,1,43,MegaPhase{elimOpaque  explicitOuter  explicitSelf  interpolators  dropBreaks},,0,1,main,13954875,0,11071000,11024000,585912,95360000 
MAIN,158045082909416,158045094520291,1,48,MegaPhase{pruneErasedDefs  uninitialized  inlinePatterns  vcInlineMethods  seqLiterals  intercepted  getters  specializeFunctions  specializeTuples  collectNullableFields  elimOuterSelect  resolveSuper  functionXXLForwarders  paramForwarding  genericTuples  letOverApply  arrayConstructors},,0,1,main,11610875,0,11258000,11206000,757536,95360000 
MAIN,158045094594291,158045155560250,1,65,erasure,,0,1,main,60965959,0,54854000,54163000,13521304,112137216 
MAIN,158045155629750,158045195086083,1,66,MegaPhase{elimErasedValueType  pureStats  vcElideAllocations  etaReduce  arrayApply  elimPolyFunction  tailrec  completeJavaEnums  mixin  lazyVals  memoize  nonLocalReturns  capturedVars},,0,1,main,39456333,0,32703000,31876000,2512400,112137216 
MAIN,158045195166416,158045203141750,1,79,constructors,,0,1,main,7975334,0,6712000,6150000,443784,112137216 
GC,158045256960291,158045264960291,2592, 2599,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158045203209500,158045301281125,1,80,MegaPhase{lambdaLift  elimStaticThis  countOuterAccesses},,0,1,main,98071625,0,73366000,72810000,18960368,73705984 
MAIN,158045301351416,158045321521125,1,83,MegaPhase{dropOuterAccessors  dropParentRefinements  checkNoSuperThis  flatten  transformWildcards  moveStatic  expandPrivate  restoreScopes  selectStatic  Collect entry points  collectSuperCalls  repeatableAnnotations},,0,1,main,20169709,0,19735000,19573000,662880,73705984 
GC,158045584095250,158045593095250,2919, 2927,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158045321593500,158045616792166,1,95,genBCode,,0,1,main,295198666,0,240234000,234357000,50488648,80023040 
