info, 1, version, 2, output, /Users/craig/rt-workspace/scala3/compiler/../out/default-last-scalac-out.jar
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
MAIN,158014920545541,158014963835208,1,1,parser,,0,1,main,43289667,0,41757000,40283000,5853328,36653736 
GC,158015058514000,158015063514000,596, 600,G1 Young Generation,end of minor GC,G1 Preventive Collection,5
GC,158015082459833,158015087459833,625, 629,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158015263514541,158015267514541,806, 809,G1 Young Generation,end of minor GC,Metadata GC Threshold,5
GC,158015530441875,158015535441875,1072, 1076,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158014964834583,158015761782000,1,2,typer,,0,1,main,796947417,0,722886000,708061000,104268336,62663680 
MAIN,158015761889083,158015762071083,1,3,inlinedPositions,,0,1,main,182000,0,181000,173000,26112,62663680 
MAIN,158015762131083,158015849347333,1,6,posttyper,,0,1,main,87216250,0,66380000,64173000,6928240,71052288 
MAIN,158015849427833,158015849486416,1,7,unrollDefs,,0,1,main,58583,0,58000,48000,2160,71052288 
MAIN,158015849530750,158015904424041,1,9,pickler,,0,1,main,54893291,0,30012000,29026000,7526960,75246592 
MAIN,158015904503208,158015904548041,1,11,inlining,,0,1,main,44833,0,45000,41000,2160,75246592 
MAIN,158015904573416,158015904597291,1,12,postInlining,,0,1,main,23875,0,25000,22000,18112,75246592 
MAIN,158015905567166,158015905603833,1,13,staging,,0,1,main,36667,0,36000,34000,2160,75246592 
MAIN,158015905627000,158015905649333,1,14,splicing,,0,1,main,22333,0,22000,22000,2160,75246592 
MAIN,158015905669125,158015905692916,1,15,pickleQuotes,,0,1,main,23791,0,24000,23000,2160,75246592 
GC,158015909411750,158015913411750,1451, 1454,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158015905715500,158015978475958,1,16,MegaPhase{crossVersionChecks  firstTransform  checkReentrant  elimPackagePrefixes  cookComments  checkLoopingImplicits  betaReduce  inlineVals  expandSAMs  elimRepeated  refchecks  dropForMap},,0,1,main,72760458,0,47974000,47612000,4273664,34004480 
MAIN,158015978555958,158015994821666,1,29,MegaPhase{protectedAccessors  extmethods  uncacheGivenAliases  checkStatic  elimByName  hoistSuperArgs  forwardDepChecks  specializeApplyMethods  tryCatchPatterns  patternMatcher},,0,1,main,16265708,0,14878000,14770000,1231760,34004480 
MAIN,158015996238416,158015996283125,1,39,setupCC,,0,1,main,44709,0,44000,40000,2160,34004480 
GC,158016288729416,158016295729416,1831, 1837,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158016423601541,158016428601541,1966, 1970,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158015996311250,158016512053458,1,40,cc,,0,1,main,515742208,0,461178000,454868000,143777560,72226176 
MAIN,158016512123875,158016512167666,1,41,setupEff,,0,1,main,43791,0,43000,41000,2160,72226176 
GC,158016541733583,158016546733583,2084, 2088,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158016598094166,158016603094166,2140, 2144,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158016739506583,158016745506583,2282, 2287,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158016831976625,158016838976625,2375, 2381,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158016512196541,158016887713125,1,42,eff,,0,1,main,375516584,0,345619000,339205000,257215144,102755576 
MAIN,158016887782375,158016899817458,1,43,MegaPhase{elimOpaque  explicitOuter  explicitSelf  interpolators  dropBreaks},,0,1,main,12035083,0,8609000,8537000,581376,102755576 
MAIN,158016899881958,158016908863541,1,48,MegaPhase{pruneErasedDefs  uninitialized  inlinePatterns  vcInlineMethods  seqLiterals  intercepted  getters  specializeFunctions  specializeTuples  collectNullableFields  elimOuterSelect  resolveSuper  functionXXLForwarders  paramForwarding  genericTuples  letOverApply  arrayConstructors},,0,1,main,8981583,0,8742000,8690000,753088,102755576 
MAIN,158016908925125,158016972718416,1,65,erasure,,0,1,main,63793291,0,57030000,55921000,13235704,115338488 
MAIN,158016972783416,158017017717041,1,66,MegaPhase{elimErasedValueType  pureStats  vcElideAllocations  etaReduce  arrayApply  elimPolyFunction  tailrec  completeJavaEnums  mixin  lazyVals  memoize  nonLocalReturns  capturedVars},,0,1,main,44933625,0,31826000,30953000,2510576,119532792 
MAIN,158017017799125,158017035614333,1,79,constructors,,0,1,main,17815208,0,10399000,9982000,443784,119532792 
GC,158017073470375,158017081470375,2616, 2623,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158017035698833,158017131595375,1,80,MegaPhase{lambdaLift  elimStaticThis  countOuterAccesses},,0,1,main,95896542,0,77252000,76719000,18960448,80086016 
MAIN,158017131665416,158017151068166,1,83,MegaPhase{dropOuterAccessors  dropParentRefinements  checkNoSuperThis  flatten  transformWildcards  moveStatic  expandPrivate  restoreScopes  selectStatic  Collect entry points  collectSuperCalls  repeatableAnnotations},,0,1,main,19402750,0,16623000,16444000,662600,80086016 
GC,158017338832291,158017347832291,2881, 2889,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158017151132375,158017430108833,1,95,genBCode,,0,1,main,278976458,0,234084000,229654000,50477216,89629696 
