info, 1, version, 2, output, /Users/craig/rt-workspace/scala3/compiler/../out/default-last-scalac-out.jar
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
MAIN,159195833296833,159195876182666,1,1,parser,,0,1,main,42885833,0,41033000,39274000,5568152,36615440 
GC,159195974246708,159195978246708,621, 624,G1 Young Generation,end of minor GC,G1 Preventive Collection,5
GC,159195994214041,159196000214041,648, 653,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,159195877252791,159196151505125,1,2,typer,,0,1,main,274252334,0,252225000,245214000,30993376,28302536 
MAIN,159196151609208,159196151770500,1,3,inlinedPositions,,0,1,main,161292,0,161000,158000,26960,28302536 
GC,159196158961916,159196161961916,812, 814,G1 Young Generation,end of minor GC,Metadata GC Threshold,5
MAIN,159196151828541,159196215912791,1,6,posttyper,,0,1,main,64084250,0,36521000,35810000,5899264,24543808 
MAIN,159196215981875,159196216026208,1,7,unrollDefs,,0,1,main,44333,0,44000,43000,2160,24543808 
MAIN,159196216065208,159196237982458,1,9,pickler,,0,1,main,21917250,0,20820000,20314000,7508968,28738112 
MAIN,159196238057166,159196238099208,1,11,inlining,,0,1,main,42042,0,41000,40000,2160,28738112 
MAIN,159196238128916,159196238155166,1,12,postInlining,,0,1,main,26250,0,26000,25000,18112,28738112 
MAIN,159196239046791,159196239089083,1,13,staging,,0,1,main,42292,0,42000,37000,2160,28738112 
MAIN,159196239113333,159196239141208,1,14,splicing,,0,1,main,27875,0,28000,27000,2160,28738112 
MAIN,159196239162583,159196239186833,1,15,pickleQuotes,,0,1,main,24250,0,24000,24000,2160,28738112 
MAIN,159196239208833,159196268511583,1,16,MegaPhase{crossVersionChecks  firstTransform  checkReentrant  elimPackagePrefixes  cookComments  checkLoopingImplicits  betaReduce  inlineVals  expandSAMs  elimRepeated  refchecks  dropForMap},,0,1,main,29302750,0,27385000,27105000,2627128,28738112 
MAIN,159196268572500,159196279631125,1,29,MegaPhase{protectedAccessors  extmethods  uncacheGivenAliases  checkStatic  elimByName  hoistSuperArgs  forwardDepChecks  specializeApplyMethods  tryCatchPatterns  patternMatcher},,0,1,main,11058625,0,9201000,9106000,730096,32932416 
MAIN,159196279697208,159196282946375,1,43,MegaPhase{elimOpaque  explicitOuter  explicitSelf  interpolators  dropBreaks},,0,1,main,3249167,0,3187000,3147000,139352,32932416 
MAIN,159196282987083,159196289868125,1,48,MegaPhase{pruneErasedDefs  uninitialized  inlinePatterns  vcInlineMethods  seqLiterals  intercepted  getters  specializeFunctions  specializeTuples  collectNullableFields  elimOuterSelect  resolveSuper  functionXXLForwarders  paramForwarding  genericTuples  letOverApply  arrayConstructors},,0,1,main,6881042,0,5436000,5369000,337872,32932416 
GC,159196316438833,159196320438833,970, 973,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,159196289909208,159196355427458,1,65,erasure,,0,1,main,65518250,0,58450000,57624000,16892504,32929792 
MAIN,159196355494791,159196383586291,1,66,MegaPhase{elimErasedValueType  pureStats  vcElideAllocations  etaReduce  arrayApply  elimPolyFunction  tailrec  completeJavaEnums  mixin  lazyVals  memoize  nonLocalReturns  capturedVars},,0,1,main,28091500,0,24926000,24526000,3010648,37124096 
MAIN,159196383650875,159196391775708,1,79,constructors,,0,1,main,8124833,0,6231000,6156000,729680,37124096 
MAIN,159196391826500,159196415107125,1,80,MegaPhase{lambdaLift  elimStaticThis  countOuterAccesses},,0,1,main,23280625,0,15410000,14871000,1798064,37124096 
MAIN,159196415164750,159196419611000,1,83,MegaPhase{dropOuterAccessors  dropParentRefinements  checkNoSuperThis  flatten  transformWildcards  moveStatic  expandPrivate  restoreScopes  selectStatic  Collect entry points  collectSuperCalls  repeatableAnnotations},,0,1,main,4446250,0,4351000,4280000,524104,37124096 
MAIN,159196419663416,159196570031541,1,95,genBCode,,0,1,main,150368125,0,128079000,123128000,14398336,53901312 
