info, 1, version, 2, output, /Users/craig/rt-workspace/scala3/compiler/../out/default-last-scalac-out.jar
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
MAIN,158971879599416,158971936166666,1,1,parser,,0,1,main,56567250,0,53581000,52102000,6102608,36614432 
GC,158972026777708,158972030777708,604, 607,G1 Young Generation,end of minor GC,G1 Preventive Collection,5
GC,158972044634708,158972048634708,626, 629,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158972205194166,158972209194166,787, 790,G1 Young Generation,end of minor GC,Metadata GC Threshold,5
MAIN,158971937365458,158972475411000,1,2,typer,,0,1,main,538045542,0,491691000,484056000,52851376,35038392 
MAIN,158972475510166,158972475687041,1,3,inlinedPositions,,0,1,main,176875,0,177000,175000,26992,35038392 
MAIN,158972475742041,158972556018250,1,6,posttyper,,0,1,main,80276209,0,63251000,62083000,7318824,43427000 
MAIN,158972556086708,158972556133250,1,7,unrollDefs,,0,1,main,46542,0,47000,45000,2160,43427000 
GC,158972575067166,158972578067166,1157, 1159,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158972556169875,158972590157708,1,9,pickler,,0,1,main,33987833,0,30539000,29834000,7910448,29728256 
MAIN,158972590237333,158972590288666,1,11,inlining,,0,1,main,51333,0,52000,44000,2160,29728256 
MAIN,158972590316458,158972590343000,1,12,postInlining,,0,1,main,26542,0,27000,25000,18112,29728256 
MAIN,158972591286791,158972591329875,1,13,staging,,0,1,main,43084,0,42000,39000,2160,29728256 
MAIN,158972591354625,158972591379625,1,14,splicing,,0,1,main,25000,0,25000,24000,2160,29728256 
MAIN,158972591400541,158972591423916,1,15,pickleQuotes,,0,1,main,23375,0,24000,22000,2160,29728256 
MAIN,158972591446875,158972657053375,1,16,MegaPhase{crossVersionChecks  firstTransform  checkReentrant  elimPackagePrefixes  cookComments  checkLoopingImplicits  betaReduce  inlineVals  expandSAMs  elimRepeated  refchecks  dropForMap},,0,1,main,65606500,0,45370000,45071000,3783264,33922560 
MAIN,158972657115250,158972674545000,1,29,MegaPhase{protectedAccessors  extmethods  uncacheGivenAliases  checkStatic  elimByName  hoistSuperArgs  forwardDepChecks  specializeApplyMethods  tryCatchPatterns  patternMatcher},,0,1,main,17429750,0,15800000,15675000,1101728,33922560 
MAIN,158972674616958,158972681893708,1,43,MegaPhase{elimOpaque  explicitOuter  explicitSelf  interpolators  dropBreaks},,0,1,main,7276750,0,6865000,6795000,463232,33922560 
MAIN,158972681934791,158972691039041,1,48,MegaPhase{pruneErasedDefs  uninitialized  inlinePatterns  vcInlineMethods  seqLiterals  intercepted  getters  specializeFunctions  specializeTuples  collectNullableFields  elimOuterSelect  resolveSuper  functionXXLForwarders  paramForwarding  genericTuples  letOverApply  arrayConstructors},,0,1,main,9104250,0,8907000,8866000,596480,33922560 
GC,158972724919333,158972727919333,1306, 1308,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158972691087708,158972761472875,1,65,erasure,,0,1,main,70385167,0,62590000,62029000,15345792,33549624 
MAIN,158972761539500,158972799846833,1,66,MegaPhase{elimErasedValueType  pureStats  vcElideAllocations  etaReduce  arrayApply  elimPolyFunction  tailrec  completeJavaEnums  mixin  lazyVals  memoize  nonLocalReturns  capturedVars},,0,1,main,38307333,0,26479000,25944000,2914088,37743928 
MAIN,158972799909041,158972806269208,1,79,constructors,,0,1,main,6360167,0,6357000,6285000,768640,37743928 
MAIN,158972806321958,158972837963250,1,80,MegaPhase{lambdaLift  elimStaticThis  countOuterAccesses},,0,1,main,31641292,0,15198000,14963000,1613656,37743928 
MAIN,158972838021000,158972849129291,1,83,MegaPhase{dropOuterAccessors  dropParentRefinements  checkNoSuperThis  flatten  transformWildcards  moveStatic  expandPrivate  restoreScopes  selectStatic  Collect entry points  collectSuperCalls  repeatableAnnotations},,0,1,main,11108291,0,5320000,5274000,561648,41938232 
GC,158972970476958,158972975476958,1552, 1556,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158972849176750,158972997500208,1,95,genBCode,,0,1,main,148323458,0,127187000,122760000,14915904,37023664 
